field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,nodularia,calothrix,rivularia,nostoc,gloeotrichia,lyngbya,leptolyngbya,homoeothrix,chroococcus,phormidium_unknown
7/10/2023,SFE-M,1S,TAC,1,12/5/2023,preserved,59,18,6,5,3,2,,,,7,,,,,,,,,,
7/10/2023,SFE-M,1S,TAC,2,12/5/2023,preserved,53,20,7,4,3,5,,,,8,,,,,,,,,,
7/10/2023,SFE-M,1S,TAC,3,12/5/2023,preserved,53,19,8,3,2,6,,,,9,,,,,,,,,,
7/17/2023,SFE-M,1S,TAC,1,12/5/2023,preserved,34,18,8,12,3,20,,,,5,,,,,,,,,,
7/17/2023,SFE-M,1S,TAC,2,12/5/2023,preserved,30,15,7,13,3,25.9,0.1,,,6,,,,,,,,,,
7/17/2023,SFE-M,1S,TAC,3,12/5/2023,preserved,28,17,9,10,3,26,,,,7,,,,,,,,,,
7/24/2023,SFE-M,1S,TAC,1,12/6/2023,preserved,20,11,15,17,2,25,,,,7,,,3,,,,,,,
7/24/2023,SFE-M,1S,TAC,2,12/6/2023,preserved,60,6,5,8,2,16,,,,3,,,,,,,,,,
7/24/2023,SFE-M,1S,TAC,3,12/6/2023,preserved,23,12,9,10,3,36,,,,7,,,,,,,,,,
7/31/2023,SFE-M,1S,TAC,1,3/20/2024,preserved,19.8,17,10,10,3,25,6,,,2,0.1,,,,,,3,4,0.1,
7/31/2023,SFE-M,1S,TAC,2,3/20/2024,preserved,12,13,12,14,3,20,8,,,4,,,,,,,10,3,1,
7/31/2023,SFE-M,1S,TAC,3,3/20/2024,preserved,31,10,10,20,3,12,5,,,2,,,,,,,5,1,1,
8/7/2023,SFE-M,1S,TAC,1,12/12/2023,preserved,28.9,18,8,10,4,8,3,,,5,,0.1,15,,,,,,,
8/7/2023,SFE-M,1S,TAC,2,12/12/2023,preserved,29,20,5,8,3,10,2,,,6,,,17,,,,,,,
8/7/2023,SFE-M,1S,TAC,3,12/12/2023,preserved,30,15,7,15,3,18,2,,,7,,,3,,,,,,,
8/14/2023,SFE-M,1S,TAC,1,12/14/2023,preserved,47.9,12,7,8,3,10,7,0.1,,5,,,,,,,,,,
8/14/2023,SFE-M,1S,TAC,2,12/14/2023,preserved,29.9,15,10,12,4,13,9,0.1,,7,,,,,,,,,,
8/14/2023,SFE-M,1S,TAC,3,12/14/2023,preserved,44.9,7,5,8,3,15,10,0.1,,7,,,,,,,,,,
8/22/2023,SFE-M,1S,TAC,1,12/15/2023,preserved,34,30,5,7,4,8,5,,,4,,,3,,,,,,,
8/22/2023,SFE-M,1S,TAC,2,12/15/2023,preserved,26,26,9,9,5,10,8,,,7,,,,,,,,,,
8/22/2023,SFE-M,1S,TAC,3,12/15/2023,preserved,23.9,22,11,10,5,12,9,0.1,,7,,,,,,,,,,
8/28/2023,SFE-M,1S,TAC,1,12/18/2023,preserved,15,7,4,8,4,47,10,,,5,,,,,,,,,,
8/28/2023,SFE-M,1S,TAC,2,12/18/2023,preserved,43,16,5,7,6,9,10,,,4,,,,,,,,,,
8/28/2023,SFE-M,1S,TAC,3,12/18/2023,preserved,50,10,5,7,5,8,11,,,3,,,,,,,,,,1
9/4/2023,SFE-M,1S,TAC,1,12/19/2023,preserved,70,8,4,7,3,5,,1,,2,,,,,,,,,,
9/4/2023,SFE-M,1S,TAC,2,12/19/2023,preserved,60,15,4,6,4,7,1,,,3,,,,,,,,,,
9/4/2023,SFE-M,1S,TAC,3,12/19/2023,preserved,48,16,6,8,4,10,2,1,,5,,,,,,,,,,
9/12/2023,SFE-M,1S,TAC,1,12/20/2023,preserved,50.8,20,5,4,3,7,0.1,,,3,,,7,,,0.1,,,,
9/12/2023,SFE-M,1S,TAC,2,12/20/2023,preserved,56.9,21,4,3,5,6,0.1,,,4,,,,,,,,,,
9/12/2023,SFE-M,1S,TAC,3,12/20/2023,preserved,17,19,4,2,7,9,,,,10,,,32,,,,,,,
9/18/2023,SFE-M,1S,TAC,1,12/20/2023,preserved,70.9,12,3,2,3,2,,0.1,,7,,,,,,,,,,
9/18/2023,SFE-M,1S,TAC,2,12/20/2023,preserved,64,15,3,3,4,3,,,,8,,,,,,,,,,
9/18/2023,SFE-M,1S,TAC,3,12/20/2023,preserved,59,17,7,3,5,2,,,,7,,,,,,,,,,
9/24/2023,SFE-M,1S,TAC,1,12/21/2023,preserved,53,20,7,4,5,3,,,,8,,,,,,,,,,
9/24/2023,SFE-M,1S,TAC,2,12/21/2023,preserved,62.8,17,3,3,5,4,0.1,0.1,,5,,,,,,,,,,
9/24/2023,SFE-M,1S,TAC,3,12/21/2023,preserved,68,8,4,5,5,3,,,,7,,,,,,,,,,
