"site","site_reach","year","field_date","sample_type","anabaena_and_cylindrospermum","chroococcus","e_diatoms","geitlerinema","green_algae","leptolyngbya","lyngbya","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","scytonema"
"SAL","SAL-1S",2022,"2022-07-12","TM",0,0,0,0,15.3846153846154,0,0,76.9230769230769,0,0,7.69230769230769,0,0
"SAL","SAL-1S",2022,"2022-07-26","TM",0,0,0,13.0434782608696,21.7391304347826,0,0,52.1739130434783,0,0,13.0434782608696,0,0
"SAL","SAL-2",2022,"2022-07-12","TM",0,0,0,0,12.5,0,0,75,0,0,12.5,0,0
"SAL","SAL-2",2022,"2022-07-26","TM",0,0,0,0,15,0,0,75.0000000000001,0,0,9.99999999999998,0,0
"SAL","SAL-3",2022,"2022-07-26","TM",0,0,0,15.3846153846154,7.69230769230767,0,0,61.5384615384615,0,0,15.3846153846154,0,0
"SFE-M","SFE-M-1S",2022,"2022-06-29","TM",0,0,16.6666666666667,27.7777777777778,11.1111111111111,0,0,11.1111111111111,27.7777777777778,0,5.55555555555558,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-14","TM",20.746887966805,0.414937759336099,20.746887966805,0,8.29875518672201,0,0,20.746887966805,20.746887966805,0,8.29875518672201,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-28","TM",26.3157894736843,0,31.5789473684211,7.89473684210526,13.1578947368421,0,0,5.26315789473683,5.26315789473683,0,10.5263157894737,0,0
"SFE-M","SFE-M-1S",2022,"2022-08-10","TM",10.3092783505155,0,20.6185567010309,27.4914089347079,10.3092783505155,0.343642611683849,0,20.6185567010309,0,0,10.3092783505155,0,0
"SFE-M","SFE-M-1S",2022,"2022-08-23","TM",0,0,14.8148148148148,7.40740740740741,29.6296296296296,0,0,37.0370370370371,0,0,11.1111111111111,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-06","TM",4.149377593361,0,24.896265560166,16.597510373444,24.896265560166,0.4149377593361,0,16.597510373444,0,0,12.448132780083,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-17","TM",5.71428571428572,0,14.2857142857143,14.2857142857143,22.8571428571429,0,0,8.57142857142858,5.71428571428572,0,28.5714285714286,0,0
"SFE-M","SFE-M-3",2022,"2022-06-29","TM",0,0,30,5.00000000000002,30,0,0,20,9.99999999999998,0,5.00000000000002,0,0
"SFE-M","SFE-M-3",2022,"2022-07-14","TM",25.8064516129032,0,16.1290322580645,0,12.9032258064516,0,0,32.258064516129,6.4516129032258,0,6.4516129032258,0,0
"SFE-M","SFE-M-3",2022,"2022-07-28","TM",11.3636363636363,0,27.2727272727273,2.27272727272728,22.7272727272728,0,0,18.1818181818182,4.54545454545453,0,6.81818181818181,0,6.81818181818181
"SFE-M","SFE-M-3",2022,"2022-08-10","TM",10.7142857142857,0,25,7.14285714285714,28.5714285714286,0,0,10.7142857142857,0,0,17.8571428571429,0,0
"SFE-M","SFE-M-3",2022,"2022-08-23","TM",0,0,33.3333333333333,6.66666666666667,33.3333333333333,0,0,20,0,0,6.66666666666667,0,0
"SFE-M","SFE-M-3",2022,"2022-09-06","TM",0,0,18.75,6.24999999999998,50,0,0,12.5,0,0,12.5,0,0
"SFE-M","SFE-M-3",2022,"2022-09-17","TM",0,0,26.3157894736842,15.7894736842105,21.0526315789474,0,0,26.3157894736842,0,0,10.5263157894737,0,0
"SFE-M","SFE-M-4",2022,"2022-06-29","TM",0,0,11.3636363636364,0,11.3636363636364,0,0,25.0000000000001,45.4545454545454,0,6.81818181818182,0,0
"SFE-M","SFE-M-4",2022,"2022-08-10","TM",16.6112956810631,0,41.5282392026579,8.30564784053155,11.6279069767442,8.30564784053155,0.166112956810631,6.64451827242525,1.66112956810631,0.166112956810631,4.98338870431894,0,0
"SFE-M","SFE-M-4",2022,"2022-08-23","TM",2.84900284900284,0.284900284900284,22.7920227920228,5.69800569800571,34.1880341880342,0,0,11.3960113960114,0,8.54700854700856,14.2450142450142,0,0
"SAL","SAL-3",2022,"2022-07-12","TM",0,0,0.353356890459364,14.1342756183746,14.1342756183746,0,0.353356890459364,60.0706713780919,0,0,10.6007067137809,0.353356890459364,0
