"site","site_reach","field_date","sample_type","anabaena_and_cylindrospermum","chroococcus","e_diatoms","green_algae","lyngbya","non_e_diatoms","nostoc","oscillatoria","other_coccoids","scytonema","leptolyngbya_geitlerinema"
"SAL","SAL-1S","2022-07-12","TM",0,0,0,3.92232270276368,0,8.77058019307029,0,0,2.77350098112615,0,0
"SAL","SAL-1S","2022-07-26","TM",0,0,0,4.66252404120157,0,7.22315118514615,0,0,3.61157559257308,0,3.61157559257308
"SAL","SAL-2","2022-07-12","TM",0,0,0,3.53553390593274,0,8.66025403784439,0,0,3.53553390593274,0,0
"SAL","SAL-2","2022-07-26","TM",0,0,0,3.87298334620742,0,8.66025403784439,0,0,3.16227766016838,0,0
"SAL","SAL-3","2022-07-26","TM",0,0,0,2.77350098112614,0,7.84464540552736,0,0,3.92232270276368,0,3.92232270276368
"SFE-M","SFE-M-1S","2022-06-29","TM",0,0,4.08248290463863,3.33333333333333,0,3.33333333333333,5.2704627669473,0,2.35702260395516,0,5.2704627669473
"SFE-M","SFE-M-1S","2022-07-14","TM",4.55487518674277,0.64415662640083,4.55487518674277,2.88075600957839,0,4.55487518674277,4.55487518674277,0,2.88075600957839,0,0
"SFE-M","SFE-M-1S","2022-07-28","TM",5.12989176042578,0,5.61951486949017,3.62738125055006,0,2.29415733870561,2.29415733870561,0,3.24442842261525,0,2.80975743474508
"SFE-M","SFE-M-1S","2022-08-10","TM",3.21080649533968,0,4.540766091865,3.21080649533968,0,4.540766091865,0,0,3.21080649533968,0,5.27589343584494
"SFE-M","SFE-M-1S","2022-08-23","TM",0,0,3.8490017945975,5.44331053951817,0,6.08580619450185,0,0,3.33333333333333,0,2.72165526975909
"SFE-M","SFE-M-1S","2022-09-06","TM",2.03700210931678,0,4.98961577279914,4.98961577279914,0,4.07400421863355,0,0,3.52819114846163,0,4.12461490721014
"SFE-M","SFE-M-1S","2022-09-17","TM",2.39045721866879,0,3.77964473009227,4.78091443733758,0,2.9277002188456,2.39045721866879,0,5.34522483824849,0,3.77964473009227
"SFE-M","SFE-M-3","2022-06-29","TM",0,0,5.47722557505166,5.47722557505166,0,4.47213595499958,3.16227766016838,0,2.23606797749979,0,2.23606797749979
"SFE-M","SFE-M-3","2022-07-14","TM",5.08000508000762,0,4.01609664451249,3.5921060405355,0,5.67961834247065,2.54000254000381,0,2.54000254000381,0,0
"SFE-M","SFE-M-3","2022-07-28","TM",3.3709993123162,0,5.22232967867094,4.76731294622797,0,4.26401432711221,2.1320071635561,0,2.61116483933547,2.61116483933547,1.50755672288882
"SFE-M","SFE-M-3","2022-08-10","TM",3.27326835353988,0,5,5.34522483824849,0,3.27326835353988,0,0,4.22577127364259,0,2.67261241912424
"SFE-M","SFE-M-3","2022-08-23","TM",0,0,5.77350269189625,5.77350269189625,0,4.47213595499958,0,0,2.58198889747161,0,2.58198889747161
"SFE-M","SFE-M-3","2022-09-06","TM",0,0,4.33012701892219,7.07106781186548,0,3.53553390593274,0,0,3.53553390593274,0,2.5
"SFE-M","SFE-M-3","2022-09-17","TM",0,0,5.12989176042577,4.58831467741124,0,5.12989176042577,0,0,3.24442842261525,0,3.97359707119513
"SFE-M","SFE-M-4","2022-06-29","TM",0,0,3.37099931231622,3.37099931231622,0,5.00000000000001,6.74199862463242,0,2.61116483933547,0,0
"SFE-M","SFE-M-4","2022-08-10","TM",4.07569572969611,0,6.44424077783085,3.40997169735237,0.407569572969611,2.57769631113234,1.28884815556617,0.407569572969611,2.23235048868204,0,4.07569572969611
"SFE-M","SFE-M-4","2022-08-23","TM",1.68789894513944,0.533760512683623,4.77409916026289,5.84705346204686,0,3.37579789027889,0,2.92352673102343,3.77425678048198,0,2.38704958013145
"SAL","SAL-3","2022-07-12","TM",0,0,0.595491334175413,3.76621788577355,0.595491334175413,7.76425707606738,0,0,3.26164036526721,0,3.76621788577355
